,title,final,vote_average
635,In the Company of Men,Comedy Drama AaronEckhart StacyEdwards MattMalloy NeilLaBute,6.799
636,Career Girls,Drama KatrinCartlidge LyndaSteadman KateByers MikeLeigh,6.873
637,Conspiracy Theory,Action Drama Mystery Thriller MelGibson JuliaRoberts PatrickStewart RichardDonner,6.598
638,One Eight Seven,Drama Thriller SamuelL.Jackson JohnHeard KellyRowan KevinReynolds,6.642
639,The Hunt for Red October,Action Adventure Thriller AlecBaldwin SeanConnery ScottGlenn JohnMcTiernan,7.386
640,My Own Private Idaho,Drama Romance RiverPhoenix KeanuReeves JamesRusso GusVanSant,7.069
641,The Edge,Action Adventure Drama AlecBaldwin AnthonyHopkins ElleMacpherson LeeTamahori,6.815
642,L.A. Confidential,Crime Drama Mystery Thriller KevinSpacey GuyPearce DannyDeVito CurtisHanson,7.784
643,Seven Years in Tibet,Adventure Drama History BradPitt JamyangJamtshoWangchuk DavidThewlis Jean-JacquesAnnaud,7.17
644,The Game,Drama Thriller Mystery MichaelDouglas SeanPenn DeborahKaraUnger DavidFincher,7.561
645,The Ice Storm,Drama KevinKline JoanAllen SigourneyWeaver AngLee,6.856
646,Chasing Amy,Comedy Drama Romance BenAffleck JoeyLaurenAdams JasonLee KevinSmith,6.774
647,The Full Monty,Comedy RobertCarlyle MarkAddy WilliamSnape PeterCattaneo,7.008
648,Alive and Kicking,Comedy Drama JasonFlemyng AntonySher DorothyTutin NancyMeckler,6.8
649,Mrs Brown,Drama History Romance JudiDench BillyConnolly GeoffreyPalmer JohnMadden,6.737
650,The Devil's Advocate,Drama Horror Mystery Thriller KeanuReeves AlPacino CharlizeTheron TaylorHackford,7.453
651,RocketMan,Comedy Family SciFi HarlandWilliams JessicaLundy WilliamSadler StuartGillard,7.333
652,"Fast, Cheap & Out of Control",Documentary DaveHoover GeorgeMendonça RaymondA.Mendez ErrolMorris,6.833
653,Gattaca,Thriller SciFi Mystery Romance EthanHawke JudeLaw GoreVidal AndrewNiccol,7.552
654,Swept from the Sea,Drama Romance RachelWeisz VincentPérez IanMcKellen BeebanKidron,6.669
655,Stripes,Action Comedy BillMurray HaroldRamis WarrenOates IvanReitman,6.538
656,The Rainmaker,Drama Crime Thriller MattDamon DannyDeVito JonVoight FrancisFordCoppola,7.031
657,Boogie Nights,Drama MarkWahlberg BurtReynolds JohnC.Reilly PaulThomasAnderson,7.639
658,Witness,Crime Drama Romance Thriller HarrisonFord KellyMcGillis JosefSommer PeterWeir,7.063
659,Starship Troopers,Adventure Action Thriller SciFi CasperVanDien DinaMeyer DeniseRichards PaulVerhoeven,7.015
660,The Joy Luck Club,Drama Ming-NaWen LaurenTom TamlynTomita WayneWang,7.188
661,Sliding Doors,Comedy Drama Fantasy Romance GwynethPaltrow JohnHannah JohnLynch PeterHowitt,6.584
662,The Truman Show,Comedy Drama JimCarrey LauraLinney NoahEmmerich PeterWeir,8.13
663,The Wings of the Dove,Drama Romance HelenaBonhamCarter AlisonElliott ElizabethMcGovern IainSoftley,6.658
664,Anastasia,Animation Family MegRyan JohnCusack ChristopherLloyd GaryGoldman,7.611
665,Amistad,Drama History Mystery MorganFreeman NigelHawthorne AnthonyHopkins StevenSpielberg,7.002
666,The Butcher Boy,Comedy Drama EamonnOwens AlanBoyle FionaShaw NeilJordan,6.843
667,Deconstructing Harry,Comedy Drama WoodyAllen KirstieAlley BillyCrystal WoodyAllen,7.324
668,Good Will Hunting,Drama RobinWilliams MattDamon BenAffleck GusVanSant,8.146
669,Guy, VincentD'Onofrio HopeDavis MichaelLindsay-Hogg,6.825
670,Tar,  None,7.215
671,MouseHunt,Comedy Family NathanLane LeeEvans VickiLewis GoreVerbinski,6.507
672,Other Voices Other Rooms,Drama AnnaLevine None,8.8
673,The Sweet Hereafter,Drama IanHolm CaerthanBanks SarahPolley AtomEgoyan,6.948
674,Titanic,Drama Romance Thriller KateWinslet LeonardoDiCaprio FrancesFisher JamesCameron,7.892
675,The Horse Whisperer,Drama Romance RobertRedford KristinScottThomas SamNeill RobertRedford,6.884
676,The Winter Guest,Drama EmmaThompson PhyllidaLaw SheilaReid AlanRickman,6.543
677,Jackie Brown,Comedy Crime Romance PamGrier SamuelL.Jackson RobertForster QuentinTarantino,7.354
678,Kundun,Drama TenzinThuthobTsarong TenchoGyalpo TsewangMigyurKhangsar MartinScorsese,6.911
679,The Big Lebowski,Comedy Crime JeffBridges JohnGoodman JulianneMoore JoelCoen,7.842
680,Great Expectations,Comedy Drama Romance GwynethPaltrow EthanHawke ChrisCooper AlfonsoCuarón,6.65
681,Wag the Dog,Comedy Drama DustinHoffman RobertDeNiro AnneHeche BarryLevinson,6.971
682,Dark City,Mystery SciFi RufusSewell WilliamHurt KieferSutherland AlexProyas,7.333
683,Fallen,Thriller Fantasy Crime Drama DenzelWashington JohnGoodman DonaldSutherland GregoryHoblit,6.848
684,The Wedding Singer,Romance Comedy AdamSandler DrewBarrymore ChristineTaylor FrankCoraci,6.784
685,As Good as It Gets,Comedy Romance JackNicholson HelenHunt GregKinnear JamesL.Brooks,7.393
686,King of New York,Thriller Crime ChristopherWalken DavidCaruso LaurenceFishburne AbelFerrara,6.7
687,Men with Guns,Drama Crime DonalLogue MaxPerlich PaulSorvino KariSkogland,7.1
688,Everest,Adventure Documentary LiamNeeson EdViesturs DavidBreashears DavidBreashears,6.81
689,Hush,Drama Thriller JessicaLange GwynethPaltrow JohnathonSchaech JonathanDarby,6.735
690,Suicide Kings,Action Comedy Crime Drama Thriller ChristopherWalken HenryThomas SeanPatrickFlanery PeterO'Fallon,6.64
691,The Man in the Iron Mask,Action Adventure Drama LeonardoDiCaprio JeremyIrons GérardDepardieu RandallWallace,6.619
692,Paulie,Comedy Family GenaRowlands TonyShalhoub CheechMarin JohnRoberts,6.7
693,"Niagara, Niagara",Drama Romance RobinTunney HenryThomas MichaelParks BobGosse,6.781
694,Eden,Drama JoannaGoing DylanWalsh SeanPatrickFlanery HowardGoldberg,6.669
695,The Proposition,Drama Romance KennethBranagh MadeleineStowe WilliamHurt LesliLinkaGlatter,7.052
696,The Big One,Documentary MichaelMoore ElaineBly JimCzarnecki MichaelMoore,6.796
697,The Spanish Prisoner,Crime Drama Mystery Thriller SteveMartin CampbellScott BenGazzara DavidMamet,6.9
698,City of Angels,Drama Fantasy Romance NicolasCage MegRyan AndreBraugher BradSilberling,6.756
699,He Got Game,Drama DenzelWashington RayAllen MillaJovovich SpikeLee,6.761
700,Nil by Mouth,Drama RayWinstone KathyBurke CharlieCreed-Miles GaryOldman,6.969
701,Sour Grapes,Comedy StevenWeber CraigBierko ViolaHarris LarryDavid,7.474
702,Wild Man Blues,Music Documentary WoodyAllen LettyAronson Soon-YiPrevin BarbaraKopple,6.655
703,"Dancer, Texas Pop. 81",Comedy Drama Family BreckinMeyer PeterFacinelli EddieMills TimMcCanlies,6.8
704,Go Now,Romance Drama TV Movie RobertCarlyle JulietAubrey SophieOkonedo MichaelWinterbottom,6.7
705,Les Misérables,Crime Drama History Romance LiamNeeson GeoffreyRush UmaThurman BilleAugust,6.819
706,Little Men,  RodneyGibbons,6.548
707,The Hanging Garden,Drama IanParsons PeterMacNeill ChrisLeavins ThomFitzgerald,6.7
708,Lawn Dogs,Drama MischaBarton SamRockwell ChristopherMcDonald JohnDuigan,7.2
709,Quest for Camelot,Fantasy Animation Drama Romance Family JessalynGilsig CaryElwes GaryOldman FrederikDuChau,6.846
710,Fear and Loathing in Las Vegas,Adventure Drama Comedy JohnnyDepp BeniciodelToro TobeyMaguire TerryGilliam,7.224
711,Hav Plenty,Action Comedy Romance SciFi Thriller ChristopherScottCherot ChenoaMaxwell TammiKatherineJones ChristopherScottCherot,7.4
712,Henry Fool,Comedy Drama ThomasJayRyan JamesUrbaniak ParkerPosey HalHartley,6.63
713,Mulan,Animation Family Adventure Ming-NaWen LeaSalonga EddieMurphy TonyBancroft,7.917
714,The X Files,Mystery SciFi Thriller DavidDuchovny GillianAnderson MitchPileggi RobBowman,6.832
715,Out of Sight,Romance Comedy Crime GeorgeClooney JenniferLopez VingRhames StevenSoderbergh,6.7
716,Picnic at Hanging Rock,Thriller Drama Mystery RachelRoberts DominicGuard HelenMorse PeterWeir,7.222
717,Smoke Signals,Drama Comedy AdamBeach EvanAdams IreneBedard ChrisEyre,6.8
718,Buffalo '66,Romance Comedy Crime Drama VincentGallo ChristinaRicci BenGazzara VincentGallo,7.101
719,Armageddon,Action Thriller SciFi Adventure BruceWillis BillyBobThornton BenAffleck MichaelBay,6.824
720,Lethal Weapon 4,Action Adventure Comedy Crime Thriller MelGibson DannyGlover JoePesci RichardDonner,6.574
721,Small Soldiers,Comedy Adventure Fantasy SciFi Action GregorySmith KirstenDunst DenisLeary JoeDante,6.508
722,Pi,Mystery Drama Thriller SeanGullette MarkMargolis BenShenkman DarrenAronofsky,6.825
723,There's Something About Mary,Romance Comedy CameronDiaz BenStiller MattDillon BobbyFarrelly,6.581
724,Wings,Action Drama Romance War ClaraBow Charles'Buddy'Rogers RichardArlen WilliamA.Wellman,7.224
725,All Quiet on the Western Front,Drama War LewAyres ArnoldLucy JohnWray LewisMilestone,7.753
726,Grand Hotel,Drama Romance GretaGarbo JohnBarrymore JoanCrawford EdmundGoulding,7.002
727,Mutiny on the Bounty,Adventure Drama History Romance CharlesLaughton ClarkGable FranchotTone FrankLloyd,7.366
728,The Life of Emile Zola,Drama PaulMuni GaleSondergaard JosephSchildkraut WilliamDieterle,6.692
729,You Can't Take It With You,Comedy Romance JeanArthur LionelBarrymore JamesStewart FrankCapra,7.506
730,How Green Was My Valley,Drama WalterPidgeon MaureenO'Hara RoddyMcDowall JohnFord,7.24
731,Mrs. Miniver,Drama Romance War GreerGarson WalterPidgeon TeresaWright WilliamWyler,7.132
732,Going My Way,Drama Comedy Music BingCrosby BarryFitzgerald FrankMcHugh LeoMcCarey,6.852
733,The Lost Weekend,Drama RayMilland JaneWyman PhillipTerry BillyWilder,7.657
734,The Best Years of Our Lives,Drama History Romance FredricMarch MyrnaLoy DanaAndrews WilliamWyler,7.85
735,Gentleman's Agreement,Drama Romance GregoryPeck DorothyMcGuire JohnGarfield EliaKazan,7.074
736,Hamlet,Drama LaurenceOlivier JeanSimmons JohnLaurie LaurenceOlivier,7.441
737,From Here to Eternity,War Drama Romance BurtLancaster MontgomeryClift DeborahKerr FredZinnemann,7.33
738,On the Waterfront,Crime Drama MarlonBrando KarlMalden LeeJ.Cobb EliaKazan,7.962
739,Marty,Drama Romance ErnestBorgnine BetsyBlair EstherMinciotti DelbertMann,7.472
740,West Side Story,Crime Drama Music NatalieWood RichardBeymer RussTamblyn JeromeRobbins,7.067
741,A Man for All Seasons,Drama History PaulScofield WendyHiller LeoMcKern FredZinnemann,7.351
742,In the Heat of the Night,Crime Drama Mystery Thriller SidneyPoitier RodSteiger WarrenOates NormanJewison,7.689
743,Oliver!,Drama Family Music RonMoody ShaniWallis OliverReed CarolReed,6.987
744,Midnight Cowboy,Drama DustinHoffman JonVoight SylviaMiles JohnSchlesinger,7.5
745,The French Connection,Action Crime Thriller GeneHackman FernandoRey RoyScheider WilliamFriedkin,7.538
746,Rocky,Drama SylvesterStallone TaliaShire BurtYoung JohnG.Avildsen,7.787
747,Kramer vs. Kramer,Drama DustinHoffman MerylStreep JaneAlexander RobertBenton,7.562
748,Ordinary People,Drama DonaldSutherland MaryTylerMoore JuddHirsch RobertRedford,7.436
749,Chariots of Fire,Drama History BenCross IanCharleson CherylCampbell HughHudson,6.844
750,Terms of Endearment,Drama Comedy ShirleyMacLaine DebraWinger JackNicholson JamesL.Brooks,7.1
751,Out of Africa,Drama MerylStreep RobertRedford KlausMariaBrandauer SydneyPollack,7.173
752,The Last Emperor,Drama History JohnLone PeterO'Toole JoanChen BernardoBertolucci,7.633
753,Rain Man,Drama DustinHoffman TomCruise ValeriaGolino BarryLevinson,7.763
754,Driving Miss Daisy,Comedy Drama MorganFreeman JessicaTandy DanAykroyd BruceBeresford,7.226
755,Take the Money and Run,Comedy Crime WoodyAllen JanetMargolin MarcelHillaire WoodyAllen,7.16
756,Klute,Mystery JaneFonda DonaldSutherland CharlesCioffi AlanJ.Pakula,6.799
757,Repo Man,Comedy Crime SciFi Thriller HarryDeanStanton EmilioEstevez TraceyWalter AlexCox,6.694
758,Metropolitan,Comedy Drama EdwardClements ChrisEigeman TaylorNichols WhitStillman,6.894
759,Labyrinth,Adventure Family Fantasy DavidBowie JenniferConnelly TobyFroud JimHenson,7.264
760,The Breakfast Club,Comedy Drama EmilioEstevez AnthonyMichaelHall JuddNelson JohnHughes,7.757
761,A Nightmare on Elm Street 3: Dream Warriors,Horror Thriller RobertEnglund PatriciaArquette HeatherLangenkamp ChuckRussell,6.67
762,Halloween,Horror Thriller DonaldPleasence JamieLeeCurtis P.J.Soles JohnCarpenter,7.569
763,Halloween II,Horror Thriller JamieLeeCurtis DonaldPleasence CharlesCyphers RickRosenthal,6.558
764,Child's Play,Horror Thriller CatherineHicks ChrisSarandon AlexVincent TomHolland,6.664
765,Poltergeist,Horror CraigT.Nelson JoBethWilliams BeatriceStraight TobeHooper,7.144
766,The Exorcist,Drama Horror Thriller LindaBlair MaxvonSydow EllenBurstyn WilliamFriedkin,7.27
767,Lethal Weapon,Adventure Action Comedy Thriller Crime MelGibson DannyGlover GaryBusey RichardDonner,7.278
768,Lethal Weapon 2,Action Adventure Comedy Crime Thriller MelGibson DannyGlover JoePesci RichardDonner,6.998
769,Lethal Weapon 3,Adventure Action Comedy Thriller Crime MelGibson DannyGlover JoePesci RichardDonner,6.695
770,Gremlins,Fantasy Horror Comedy ZachGalligan PhoebeCates HoytAxton JoeDante,7.091
771,The Goonies,Adventure Comedy Family SeanAstin JoshBrolin JeffCohen RichardDonner,7.515
772,The Mask of Zorro,Action Adventure AntonioBanderas AnthonyHopkins CatherineZeta-Jones MartinCampbell,6.543
773,Soylent Green,Mystery SciFi Thriller CharltonHeston EdwardG.Robinson LeighTaylor-Young RichardFleischer,6.935
774,Back to the Future Part II,Adventure Comedy Family SciFi MichaelJ.Fox ChristopherLloyd LeaThompson RobertZemeckis,7.752
775,Back to the Future Part III,Adventure Comedy Family SciFi MichaelJ.Fox ChristopherLloyd MarySteenburgen RobertZemeckis,7.465
776,The Poseidon Adventure,Action Adventure GeneHackman ErnestBorgnine RedButtons RonaldNeame,7.1
777,Babes in Toyland,Fantasy SciFi Family AnnetteFunicello RayBolger TommySands JackDonohue,6.566
778,Bambi,Animation Drama Family DonnieDunagan PeterBehn StanAlexander DavidHand,7.009
779,Dangerous Liaisons,Drama Romance GlennClose JohnMalkovich MichellePfeiffer StephenFrears,7.235
780,Dune,Action SciFi Adventure KyleMacLachlan FrancescaAnnis LeonardoCimino DavidLynch,7.801
781,The Last Temptation of Christ,Drama WillemDafoe HarveyKeitel BarbaraHershey MartinScorsese,7.212
782,The Godfather: Part III,Crime Drama Thriller AlPacino DianeKeaton AndyGarcía FrancisFordCoppola,7.421
783,Lolita,Drama Romance JeremyIrons DominiqueSwain MelanieGriffith AdrianLyne,7.129
784,Saving Private Ryan,Drama History War TomHanks MattDamon VinDiesel StevenSpielberg,8.208
785,Blackbeard's Ghost,Fantasy Comedy Family PeterUstinov DeanJones SuzannePleshette RobertStevenson,6.728
786,Candleshoe,Family DavidNiven JodieFoster HelenHayes NormanTokar,6.796
787,Darby O'Gill and the Little People,Adventure Fantasy SciFi Family AlbertSharpe JanetMunro SeanConnery RobertStevenson,6.78
788,Flight of the Navigator,Family SciFi Adventure JoeyCramer PaulReubens CliffDeYoung RandalKleiser,6.902
789,The Great Mouse Detective,Comedy Animation Family BarrieIngham ValBettin VincentPrice RonClements,7.052
790,The Happiest Millionaire,Comedy Drama Family Music FredMacMurray TommySteele GreerGarson NormanTokar,6.577
791,Hocus Pocus,Comedy Family Fantasy BetteMidler SarahJessicaParker KathyNajimy KennyOrtega,7.057
792,The Incredible Journey,Adventure Family ÉmileGenest JohnDrainie SandraScott FletcherMarkle,6.677
793,The Negotiator,Action Adventure Crime Drama Mystery Thriller SamuelL.Jackson KevinSpacey DavidMorse F.GaryGray,7.061
794,The Parent Trap,Comedy Drama Family LindsayLohan DennisQuaid NatashaRichardson NancyMeyers,7.158
795,Roger & Me,Documentary History MichaelMoore RogerB.Smith RhondaBritton MichaelMoore,7.158
796,The Purple Rose of Cairo,Fantasy Comedy Romance MiaFarrow JeffDaniels DannyAiello WoodyAllen,7.41
797,Out of the Past,Drama Mystery Thriller RobertMitchum JaneGreer KirkDouglas JacquesTourneur,7.641
798,Doctor Zhivago,Drama Romance War OmarSharif JulieChristie GeraldineChaplin DavidLean,7.547
799,The Trip to Bountiful,Drama GeraldinePage JohnHeard CarlinGlynn PeterMasterson,7.238
800,Tender Mercies,Drama Music Romance RobertDuvall TessHarper BettyBuckley BruceBeresford,6.628
801,And the Band Played On,Drama MatthewModine AlanAlda PatrickBauchau RogerSpottiswoode,6.535
802,The 'Burbs,Comedy Horror Thriller TomHanks BruceDern CarrieFisher JoeDante,6.742
803,Fandango,Comedy Drama KevinCostner JuddNelson SamRobards KevinReynolds,6.715
804,The Night Porter,Drama DirkBogarde CharlotteRampling GabrieleFerzetti LilianaCavani,6.8
805,Blue Velvet,Crime Drama Mystery Thriller IsabellaRossellini KyleMacLachlan DennisHopper DavidLynch,7.636
806,The Journey of Natty Gann,Adventure MeredithSalenger JohnCusack RayWise JeremyKagan,6.983
807,The Jungle Book,Family Animation Adventure BruceReitherman PhilHarris SebastianCabot WolfgangReitherman,7.277
808,Lady and the Tramp,Family Animation PeggyLee BarbaraLuddy LarryRoberts HamiltonLuske,7.106
809,The Mighty Ducks,Comedy Family EmilioEstevez JossAckland LaneSmith StephenHerek,6.57
810,The Muppet Christmas Carol,Comedy Family Fantasy Drama MichaelCaine DonAusten MeredithBraun BrianHenson,7.37
811,Newsies,Drama Music Family ChristianBale BillPullman Ann-Margret KennyOrtega,6.7
812,One Hundred and One Dalmatians,Adventure Animation Comedy Family RodTaylor J.PatO'Malley BettyLouGerson HamiltonLuske,7.165
813,Peter Pan,Animation Music Family Adventure Fantasy BobbyDriscoll KathrynBeaumont HansConried ClydeGeronimi,7.2
814,The Rescuers Down Under,Adventure Animation Crime Family Fantasy BobNewhart EvaGabor JohnCandy HendelButoy,6.633
815,The Rescuers,Fantasy Family Animation Adventure BobNewhart EvaGabor GeraldinePage JohnLounsbery,6.76
816,Return to Oz,Adventure Family Fantasy FairuzaBalk NicolWilliamson JeanMarsh WalterMurch,6.712
817,Sleeping Beauty,Fantasy Animation Romance Family MaryCosta BillShirley EleanorAudley ClydeGeronimi,6.943
818,Steamboat Willie,Animation WaltDisney WaltDisney,7.321
819,Tron,SciFi Action Adventure JeffBridges BruceBoxleitner DavidWarner StevenLisberger,6.678
820,Swing Kids,Music Drama RobertSeanLeonard ChristianBale FrankWhaley ThomasCarter,6.697
821,The Jerk,Comedy SteveMartin BernadettePeters CatlinAdams CarlReiner,6.909
822,Dead Men Don't Wear Plaid,Comedy Mystery SteveMartin RachelWard AlanLadd CarlReiner,6.64
823,The Outsiders,Crime Drama MattDillon RalphMacchio C.ThomasHowell FrancisFordCoppola,7.242
824,Indiana Jones and the Temple of Doom,Adventure Action HarrisonFord KateCapshaw JonathanKeQuan StevenSpielberg,7.295
825,The Lord of the Rings,Fantasy Drama Animation Adventure ChristopherGuard WilliamSquire MichaelScholes RalphBakshi,6.56
826,Nineteen Eighty-Four,Drama Romance SciFi JohnHurt RichardBurton SuzannaHamilton MichaelRadford,6.834
827,The Dead Zone,Horror SciFi Thriller ChristopherWalken BrookeAdams TomSkerritt DavidCronenberg,7.018
828,All Dogs Go to Heaven,Drama Animation Family Comedy Fantasy BurtReynolds DomDeLuise JudithBarsi GaryGoldman,6.741
829,The Addams Family,Horror Comedy Fantasy RaúlJuliá AnjelicaHuston ChristopherLloyd BarrySonnenfeld,6.625
830,Ever After: A Cinderella Story,Drama Romance Comedy DrewBarrymore DougrayScott AnjelicaHuston AndyTennant,7.373
831,Atlantic City,Crime Drama Romance BurtLancaster SusanSarandon KateReid LouisMalle,6.87
832,Who's Afraid of Virginia Woolf?,Drama ElizabethTaylor RichardBurton GeorgeSegal MikeNichols,7.785
833,Adventures in Babysitting,Thriller Comedy Crime Adventure ElisabethShue MaiaBrewton KeithCoogan ChrisColumbus,6.865
834,Weird Science,Comedy Romance Fantasy AnthonyMichaelHall KellyLeBrock IlanMitchell-Smith JohnHughes,6.54
835,Watership Down,Adventure Animation Drama JohnHurt RichardBriers MichaelGrahamCox MartinRosen,7.173
836,The Secret of NIMH,Fantasy Animation Drama Family DerekJacobi ElizabethHartman ArthurMalet DonBluth,7.445
837,The Dark Crystal,Fantasy JimHenson KathrynMullen FrankOz JimHenson,7.11
838,An American Tail,Drama Family Animation Adventure PhillipGlasser DomDeLuise NehemiahPersoff DonBluth,6.722
839,Legend,Adventure Fantasy TomCruise MiaSara TimCurry RidleyScott,7.028
840,Sixteen Candles,Comedy Romance MollyRingwald JustinHenry MichaelSchoeffling JohnHughes,6.791
841,Pretty in Pink,Comedy MollyRingwald JonCryer AndrewMcCarthy HowardDeutch,6.775
842,The Gods Must Be Crazy,Action Comedy N!xau MichaelThys MariusWeyers JamieUys,7.252
843,The Gods Must Be Crazy II,Action Comedy LenaFarugia HansStrydom Eiros JamieUys,6.987
844,The Avengers,Thriller RalphFiennes UmaThurman SeanConnery JeremiahS.Chechik,7.707
845,Henry: Portrait of a Serial Killer,Crime Drama Horror Thriller MichaelRooker TracyArnold TomTowles JohnMcNaughton,6.732
846,Rosemary's Baby,Horror Drama Mystery MiaFarrow JohnCassavetes RuthGordon RomanPolanski,7.823
847,The NeverEnding Story,Drama Family Fantasy Adventure BarretOliver GeraldMcRaney NoahHathaway WolfgangPetersen,7.19
848,Blade,Horror Action WesleySnipes StephenDorff KrisKristofferson StephenNorrington,6.754
849,Dance with Me,Drama Music Romance VanessaWilliams Chayanne KrisKristofferson RandaHaines,6.9
850,All I Wanna Do,Comedy KirstenDunst GabyHoffmann LynnRedgrave SarahKernochan,10.0
851,Beetlejuice,Fantasy Comedy GeenaDavis AlecBaldwin WinonaRyder TimBurton,7.383
852,Déjà Vu,Romance Drama StephenDillane VictoriaFoyt VanessaRedgrave HenryJaglom,6.834
853,Rope,Crime Drama Mystery Thriller JamesStewart JohnDall FarleyGranger AlfredHitchcock,7.968
854,Family Plot,Comedy Crime Thriller BarbaraHarris BruceDern KarenBlack AlfredHitchcock,6.8
855,Frenzy,Crime Drama Mystery Thriller JonFinch AlecMcCowen BarryFoster AlfredHitchcock,7.127
856,Torn Curtain,Mystery Thriller PaulNewman JulieAndrews LilaKedrova AlfredHitchcock,6.609
857,Marnie,Crime Drama Mystery Thriller TippiHedren SeanConnery DianeBaker AlfredHitchcock,7.162
858,The Wrong Man,Crime Drama Mystery HenryFonda VeraMiles AnthonyQuayle AlfredHitchcock,7.155
859,The Trouble with Harry,Comedy Mystery Thriller EdmundGwenn JohnForsythe ShirleyMacLaine AlfredHitchcock,7.0
860,I Confess,Crime Drama MontgomeryClift AnneBaxter KarlMalden AlfredHitchcock,7.135
861,Strangers on a Train,Crime Drama Thriller FarleyGranger RobertWalker RuthRoman AlfredHitchcock,7.706
862,I Married a Strange Person!,Drama Comedy Animation CharisMichelsen TomLarson RichardSpore BillPlympton,6.986
863,Why Do Fools Fall In Love,Drama Romance VivicaA.Fox LelaRochon HalleBerry GregoryNava,6.6
864,Willow,Adventure Drama Action WarwickDavis ValKilmer JoanneWhalley RonHoward,7.031
865,The Untouchables,Crime Drama History Thriller KevinCostner SeanConnery CharlesMartinSmith BrianDePalma,7.768
866,Firelight,Romance Drama SophieMarceau StephenDillane DominiqueBelcourt WilliamNicholson,6.708
867,Modulations,Documentary KarlheinzStockhausen Moby AfrikaBambaataa IaraLee,7.5
868,Phoenix,Drama Thriller Crime Romance RayLiotta AnthonyLaPaglia AnjelicaHuston DannyCannon,6.775
869,Lifeboat,Drama War TallulahBankhead WilliamBendix WalterSlezak AlfredHitchcock,7.4
870,Shadow of a Doubt,Crime Drama Thriller TeresaWright JosephCotten MacdonaldCarey AlfredHitchcock,7.522
871,Saboteur,Thriller War PriscillaLane RobertCummings OttoKruger AlfredHitchcock,6.9
872,Mr. & Mrs. Smith,Comedy Romance CaroleLombard RobertMontgomery GeneRaymond AlfredHitchcock,6.675
873,Suspicion,Mystery Thriller CaryGrant JoanFontaine CedricHardwicke AlfredHitchcock,7.118
874,The Lady Vanishes,Mystery Thriller MargaretLockwood MichaelRedgrave DameMayWhitty AlfredHitchcock,7.502
875,Young and Innocent,Drama Crime NovaPilbeam DerrickDeMarney PercyMarmont AlfredHitchcock,6.6
876,Murder!,Mystery Thriller HerbertMarshall NorahBaring PhyllisKonstam AlfredHitchcock,6.575
877,Blackmail,Drama Thriller Crime AnnyOndra SaraAllgood CharlesPaton AlfredHitchcock,6.59
878,The Ring,Drama CarlBrisson LillianHall-Davis IanHunter AlfredHitchcock,6.648
879,The Lodger: A Story of the London Fog,Crime Drama Thriller IvorNovello JuneTripp MarieAult AlfredHitchcock,7.161
880,Rounders,Drama Crime MattDamon JohnTurturro GretchenMol JohnDahl,7.0
881,Cube,Thriller SciFi Mystery NicoledeBoer NickyGuadagni DavidHewlett VincenzoNatali,6.794
882,Simon Birch,Comedy Drama Family AshleyJudd IanMichaelSmith JosephMazzello MarkStevenJohnson,6.7
883,Without Limits,Drama BillyCrudup DonaldSutherland MonicaPotter RobertTowne,6.6
884,Broadcast News,Comedy Drama Romance WilliamHurt AlbertBrooks HollyHunter JamesL.Brooks,6.76
885,Working Girl,Comedy Drama Romance HarrisonFord MelanieGriffith SigourneyWeaver MikeNichols,6.598
886,Say Anything...,Comedy Drama Romance JohnCusack IoneSkye JohnMahoney CameronCrowe,7.1
887,We're No Angels,Comedy Crime Drama RobertDeNiro SeanPenn DemiMoore NeilJordan,7.14
888,A Few Good Men,Drama TomCruise JackNicholson DemiMoore RobReiner,7.515
889,One True Thing,Drama Romance MerylStreep RenéeZellweger WilliamHurt CarlFranklin,6.563
890,Rush Hour,Action Comedy Crime Thriller JackieChan ChrisTucker KenLeung BrettRatner,7.0
891,Ronin,Action Thriller Crime Adventure RobertDeNiro JeanReno NataschaMcElhone JohnFrankenheimer,6.937
892,The Sheltering Sky,Adventure Drama Romance DebraWinger JohnMalkovich CampbellScott BernardoBertolucci,6.652
893,Bandit Queen,Drama Foreign SeemaBiswas NirmalPandey RajeshVivek ShekharKapur,6.698
894,If....,Drama MalcolmMcDowell RichardWarwick DavidWood LindsayAnderson,7.967
895,Them!,SciFi Mystery Horror JamesWhitmore JamesArness JoanWeldon GordonDouglas,6.837
896,The Thing,Horror Mystery SciFi KurtRussell KeithDavid WilfordBrimley JohnCarpenter,8.038
897,The Player,Comedy Drama TimRobbins GretaScacchi FredWard RobertAltman,7.204
898,Stardust Memories,Comedy Drama Romance WoodyAllen CharlotteRampling JessicaHarper WoodyAllen,7.0
899,Edward Scissorhands,Fantasy Drama Romance JohnnyDepp WinonaRyder DianneWiest TimBurton,7.716
900,A Night at the Roxbury,Comedy WillFerrell ChrisKattan JenniferCoolidge JohnFortenberry,6.559
901,What Dreams May Come,Drama Fantasy Romance RobinWilliams CubaGoodingJr. AnnabellaSciorra VincentWard,7.18
902,The Battle of the Sexes,Comedy PeterSellers RobertMorley ConstanceCummings CharlesCrichton,7.1
903,The Producers,Comedy GeneWilder ZeroMostel DickShawn MelBrooks,7.142
904,History of the World: Part I,Comedy MelBrooks DomDeLuise MadelineKahn MelBrooks,6.801
905,My Cousin Vinny,Comedy Drama JoePesci RalphMacchio MarisaTomei JonathanLynn,7.481
906,Nashville,Drama Music DavidArkin BarbaraBaxley NedBeatty RobertAltman,7.3
